app_rate_g_cm2,body_weight_g,chemical,tissue_conc_ugg,sample_id,source,application,exp_duration,formulation,soil_conc_ugg,soil_type,species
2.60E-06,2.0876,PROPT,0.277662174,MAPZ_PROPT,rvm2018,soil,8,0,1.596897761,NA,Rana_clamitans
2.60E-06,2.1656,PROPT,0.618946465,MAPZ_PROPT,rvm2018,soil,8,0,0.912393334,NA,Rana_clamitans
2.60E-06,2.2353,PROPT,0.205578453,ATZPZ_PROPT,rvm2018,soil,8,0,1.776310953,NA,Rana_clamitans
2.60E-06,2.3087,PROPT,0.305997543,MAPZ_PROPT,rvm2018,soil,8,0,2.199030193,NA,Rana_clamitans
2.60E-06,2.3395,PROPT,0.139716725,PZ_PROPT,rvm2018,soil,8,0,1.27316806,NA,Rana_clamitans
2.60E-06,2.6348,PROPT,0.423424017,ATZMAPZ_PROPT,rvm2018,soil,8,0,3.663718819,NA,Rana_clamitans
2.60E-06,2.8777,PROPT,1.438248563,ATZPZ_PROPT,rvm2018,soil,8,0,1.894795833,NA,Rana_clamitans
2.60E-06,2.8816,PROPT,0.380895431,PZ_PROPT,rvm2018,soil,8,0,1.669634522,NA,Rana_clamitans
2.60E-06,3.0233,PROPT,0.314333427,ATZPZ_PROPT,rvm2018,soil,8,0,2.382033269,NA,Rana_clamitans
2.60E-06,3.4314,PROPT,0.177311228,ATZPZ_PROPT,rvm2018,soil,8,0,2.649912975,NA,Rana_clamitans
2.60E-06,3.5113,PROPT,1.481646981,ATZPZ_PROPT,rvm2018,soil,8,0,1.691527517,NA,Rana_clamitans
2.60E-06,3.9973,PROPT,0.000537811,PZ_PROPT,rvm2018,soil,8,0,2.285530658,NA,Rana_clamitans
2.60E-06,4.0141,PROPT,0.723961607,MAPZ_PROPT,rvm2018,soil,8,0,2.031949048,NA,Rana_clamitans
