Group,ATZ,MA,PROP,Pesticide,Media,Conc,Weight,SA
ATZPZ,1,-1,1,ATZBCF,BCF,0.456041115,3.0233,2.485821477
ATZPZ,1,-1,1,ATZBCF,BCF,1.793162709,2.8777,2.415787056
ATZPZ,1,-1,1,ATZBCF,BCF,0.403156291,3.4314,2.674910192
ATZPZ,1,-1,1,ATZBCF,BCF,0.675151762,1.6593,1.756336878
ATZPZ,1,-1,1,ATZBCF,BCF,0.326752912,2.2353,2.087068649
ATZPZ,1,-1,1,PROPBCF,BCF,0.875922482,3.5113,2.710798464
ATZPZ,1,-1,1,PROPBCF,BCF,0.131960133,3.0233,2.485821477
ATZPZ,1,-1,1,PROPBCF,BCF,0.759051998,2.8777,2.415787056
ATZPZ,1,-1,1,PROPBCF,BCF,0.066912095,3.4314,2.674910192
ATZPZ,1,-1,1,PROPBCF,BCF,0.440180235,1.6593,1.756336878
ATZPZ,1,-1,1,PROPBCF,BCF,0.11573337,2.2353,2.087068649
MAPZ,-1,1,1,MABCF,BCF,0.35391107,2.1656,2.049137486
MAPZ,-1,1,1,MABCF,BCF,0.025262418,2.0876,2.006074583
MAPZ,-1,1,1,MABCF,BCF,0.05020596,2.3087,2.12647891
MAPZ,-1,1,1,MABCF,BCF,0.022293896,1.822,1.854081427
MAPZ,-1,1,1,MABCF,BCF,0.197150551,4.0141,2.929198859
MAPZ,-1,1,1,MABCF,BCF,0.032720414,1.7896,1.834919445
MAPZ,-1,1,1,PROPBCF,BCF,0.678376794,2.1656,2.049137486
MAPZ,-1,1,1,PROPBCF,BCF,0.173875987,2.0876,2.006074583
MAPZ,-1,1,1,PROPBCF,BCF,0.139151133,2.3087,2.12647891
MAPZ,-1,1,1,PROPBCF,BCF,0.14659897,1.822,1.854081427
MAPZ,-1,1,1,PROPBCF,BCF,0.356289252,4.0141,2.929198859
MAPZ,-1,1,1,PROPBCF,BCF,0.146076511,1.7896,1.834919445
ATZMAPZ,1,1,1,ATZBCF,BCF,0.745680212,1.8822,1.889308054
ATZMAPZ,1,1,1,ATZBCF,BCF,0.410010759,1.3043,1.527829407
ATZMAPZ,1,1,1,ATZBCF,BCF,1.411563095,1.4277,1.609926671
ATZMAPZ,1,1,1,ATZBCF,BCF,0.86213558,1.7623,1.818660037
ATZMAPZ,1,1,1,ATZBCF,BCF,0.61249648,2.6348,2.295536421
ATZMAPZ,1,1,1,ATZBCF,BCF,1.739196628,1.7856,1.832543676
ATZMAPZ,1,1,1,MABCF,BCF,2.468100746,1.8822,1.889308054
ATZMAPZ,1,1,1,MABCF,BCF,0.085042822,1.3043,1.527829407
ATZMAPZ,1,1,1,MABCF,BCF,0.02373441,1.4277,1.609926671
ATZMAPZ,1,1,1,MABCF,BCF,0.326847559,1.7623,1.818660037
ATZMAPZ,1,1,1,MABCF,BCF,0.00570171,2.6348,2.295536421
ATZMAPZ,1,1,1,MABCF,BCF,0.21241971,1.7856,1.832543676
ATZMAPZ,1,1,1,PROPBCF,BCF,1.90925846,1.8822,1.889308054
ATZMAPZ,1,1,1,PROPBCF,BCF,0.432786728,1.3043,1.527829407
ATZMAPZ,1,1,1,PROPBCF,BCF,0.282946896,1.4277,1.609926671
ATZMAPZ,1,1,1,PROPBCF,BCF,1.425212448,1.7623,1.818660037
ATZMAPZ,1,1,1,PROPBCF,BCF,0.115572192,2.6348,2.295536421
ATZMAPZ,1,1,1,PROPBCF,BCF,0.780489213,1.7856,1.832543676
