Species,Sample,Chemical,Instrument,good,Application,app_rate_g_cm2,TissueConc,SoilConc,logKow,BCF,bodyweight,initialweight,Solat20C_mgL,Solat20C_gL,molmass_gmol,Density_gcm3,AppFactor,SA_cm2,VapPrs_mPa,Koc_gmL,HalfLife_day,HabFac
Barking treefrog,HGA3,Desethyl Atrazine,LCMS,1,Soil,NA,0.438120641,0.044544085,2.5,9.835663845,1.91549,2.2008,30,0.03,215.68,1.187,NA,1.785733966,0.04,122,80,Arboreal
Barking treefrog,HGA4,Desethyl Atrazine,LCMS,1,Soil,NA,0.757154523,0.044544085,2.5,16.99786923,1.66783,1.9721,30,0.03,215.68,1.187,NA,1.675816481,0.04,122,80,Arboreal
Barking treefrog,HGA5,Desethyl Atrazine,LCMS,1,Soil,NA,0.749143657,0.044544085,2.5,16.81802791,2.6954,3.1445,30,0.03,215.68,1.187,NA,2.195558336,0.04,122,80,Arboreal
Barking treefrog,HGF1,Fipronil,LCMS,1,Soil,1.12E-06,0.242225711,2.464591226,4,0.098282307,1.62588,1.958,3.78,0.00378,437.15,1.48,211376.1957,1.668868629,0.00037,825,125,Arboreal
Barking treefrog,HGF2,Fipronil,LCMS,1,Soil,1.12E-06,0.365594772,2.464591226,4,0.148338908,1.22989,1.5969,3.78,0.00378,437.15,1.48,271565.9669,1.48306575,0.00037,825,125,Arboreal
Barking treefrog,HGF3,Fipronil,LCMS,1,Soil,1.12E-06,0.19909387,2.464591226,4,0.0807817,2.00445,2.278,3.78,0.00378,437.15,1.48,196216.8986,1.821739221,0.00037,825,125,Arboreal
Barking treefrog,HGF4,Fipronil,LCMS,1,Soil,1.12E-06,0.185740783,2.464591226,4,0.075363728,1.99483,2.2964,3.78,0.00378,437.15,1.48,181331.6166,1.83024458,0.00037,825,125,Arboreal
Barking treefrog,HGF5,Fipronil,LCMS,1,Soil,1.12E-06,0.120576038,2.464591226,4,0.048923342,1.56533,1.85,3.78,0.00378,437.15,1.48,104684.2594,1.614934958,0.00037,825,125,Arboreal
Barking treefrog,HGF1,Fipronil-Sulfone,LCMS,1,Soil,NA,0.413924973,0.031110731,4,13.30489403,1.62588,1.958,3.78,0.00378,437.15,1.48,NA,1.668868629,0.00037,825,125,Arboreal
Barking treefrog,HGF2,Fipronil-Sulfone,LCMS,1,Soil,NA,0.601126387,0.031110731,4,19.32215594,1.22989,1.5969,3.78,0.00378,437.15,1.48,NA,1.48306575,0.00037,825,125,Arboreal
Barking treefrog,HGF3,Fipronil-Sulfone,LCMS,1,Soil,NA,0.26504608,0.031110731,4,8.519442489,2.00445,2.278,3.78,0.00378,437.15,1.48,NA,1.821739221,0.00037,825,125,Arboreal
Barking treefrog,HGF4,Fipronil-Sulfone,LCMS,1,Soil,NA,0.275779199,0.031110731,4,8.86443984,1.99483,2.2964,3.78,0.00378,437.15,1.48,NA,1.83024458,0.00037,825,125,Arboreal
