"","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","soil_conc_ugg","soil_type","species","tissue_conc_ugg"
"285",2e-05,"Overspray",1.17217,"Pendimethalin",8,0,12.5210311,"PLE","Green treefrog",1.924313318
"286",2.31e-05,"Overspray",2.22041,"Total Atrazine",8,0,19.12810511,"PLE","Green treefrog",23.44129789
"287",2.31e-05,"Overspray",3.35473,"Total Atrazine",8,0,19.12810511,"PLE","Green treefrog",20.56163305
"288",2.31e-05,"Overspray",2.00039,"Total Atrazine",8,0,19.12810511,"PLE","Green treefrog",19.95404302
"289",2.31e-05,"Overspray",2.82206,"Total Atrazine",8,0,19.12810511,"PLE","Green treefrog",19.44679486
"290",2.31e-05,"Overspray",3.13181,"Total Atrazine",8,0,19.12810511,"PLE","Green treefrog",18.88325569
"291",1.06e-06,"Overspray",1.30684,"Total Fipronil",8,0,3.951751488,"PLE","Green treefrog",2.729720739
"292",1.06e-06,"Overspray",2.6593,"Total Fipronil",8,0,3.951751488,"PLE","Green treefrog",3.730847831
"293",1.06e-06,"Overspray",1.88382,"Total Fipronil",8,0,3.951751488,"PLE","Green treefrog",1.778989061
"294",1.06e-06,"Overspray",1.07051,"Total Fipronil",8,0,3.951751488,"PLE","Green treefrog",1.159865558
"295",1.06e-06,"Overspray",1.77007,"Total Fipronil",8,0,3.951751488,"PLE","Green treefrog",1.097300859
"296",2.79e-06,"Overspray",1.53205,"Total Triadimefon",8,0,8.090520249,"PLE","Green treefrog",1.511168861
"297",2.79e-06,"Overspray",1.72177,"Total Triadimefon",8,0,8.090520249,"PLE","Green treefrog",3.099302175
"298",2.79e-06,"Overspray",1.38441,"Total Triadimefon",8,0,8.090520249,"PLE","Green treefrog",1.440452008
"299",2.79e-06,"Overspray",3.21721,"Total Triadimefon",8,0,8.090520249,"PLE","Green treefrog",1.363591664
"300",2.79e-06,"Overspray",1.0386,"Total Triadimefon",8,0,8.090520249,"PLE","Green treefrog",1.152513756
"336",5.76e-06,"Soil",1.46095,"Imidacloprid",8,0,2.032637766,"PLE","Green treefrog",0.128323626
"337",5.76e-06,"Soil",1.29982,"Imidacloprid",8,0,2.032637766,"PLE","Green treefrog",0.160232247
"338",5.76e-06,"Soil",1.41647,"Imidacloprid",8,0,2.032637766,"PLE","Green treefrog",0.12428756
