"","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","sample_id","soil_conc_ugg","soil_type","source","species","tissue_conc_ugg"
"133",2.36e-05,"soil",3.7998,"atrazine",8,0,"ZLN13",7.600116947,"USLoam","rvmunpub","Southern Leopard Frog",1.769087355
"134",2.36e-05,"soil",2.2945,"atrazine",8,0,"ZLN14",6.878636974,"USLoam","rvmunpub","Southern Leopard Frog",6.266085661
"135",2.36e-05,"soil",2.8058,"atrazine",8,0,"ZLN15",5.251226421,"USLoam","rvmunpub","Southern Leopard Frog",9.597340844
"136",2.36e-05,"soil",4.3403,"atrazine",8,0,"ZLN16",6.415673815,"USLoam","rvmunpub","Southern Leopard Frog",0.492605254
"137",2.36e-05,"soil",4.0674,"atrazine",8,0,"ZLN17",5.751892513,"USLoam","rvmunpub","Southern Leopard Frog",2.293874688
"138",2.36e-05,"soil",4.3011,"atrazine",8,0,"ZLN18",6.379509334,"USLoam","rvmunpub","Southern Leopard Frog",1.52009265
"139",2.36e-05,"soil",4.8689,"atrazine",8,0,"ZN13",7.100660364,"USLoam","rvmunpub","Southern Leopard Frog",0.699235064
"140",2.36e-05,"soil",4.6047,"atrazine",8,0,"ZN14",12.14903279,"USLoam","rvmunpub","Southern Leopard Frog",0.416047155
"141",2.36e-05,"soil",4.0417,"atrazine",8,0,"ZN15",12.22517282,"USLoam","rvmunpub","Southern Leopard Frog",1.214998761
"142",2.36e-05,"soil",3.3774,"atrazine",8,0,"ZN16",11.92515719,"USLoam","rvmunpub","Southern Leopard Frog",3.70393861
"143",2.36e-05,"soil",5.2596,"atrazine",8,0,"ZN17",19.26612219,"USLoam","rvmunpub","Southern Leopard Frog",1.08378731
"144",2.36e-05,"soil",2.6801,"atrazine",8,0,"ZN18",20.60541132,"USLoam","rvmunpub","Southern Leopard Frog",0.791994902
