"","X","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","soil_conc_ugg","soil_type","species","tissue_conc_ugg","tim_direct_avian_1hr_perez","tim_direct_avian_1hr_perez_ratios","tim_direct_avian_1hr","tim_direct_avian_1hr_ratios","tim_direct_amphib_1hr"
"51",121,5.62e-06,"Soil",0.7479,"Imidacloprid",8,0,2.072271639,"PLE","Cricket frog",0.253213485,208.092171304956,821.805249846612,30.9539747037012,122.244574390267,14.3661629667625
"52",122,5.62e-06,"Soil",0.74614,"Imidacloprid",8,0,2.072271639,"PLE","Cricket frog",0.434782099,208.308493264367,479.11009616881,30.9782694110444,71.2501031718981,14.3804196640213
"53",123,5.62e-06,"Soil",0.53965,"Imidacloprid",8,0,2.072271639,"PLE","Cricket frog",0.372214162,240.303041656039,645.604241291709,34.5074576373006,92.7086101503591,16.4819915743144
"54",124,5.62e-06,"Soil",0.71619,"Imidacloprid",8,0,2.072271639,"PLE","Cricket frog",0.339457748,212.106159501437,624.83817426797,31.4037789513984,92.5115986788387,14.630596121322
"55",125,5.62e-06,"Soil",0.63282,"Imidacloprid",8,0,2.072271639,"PLE","Cricket frog",0.275966093,224.004206222738,811.709162483009,32.7250270727416,118.583506825027,15.4130984867328
"56",126,2.79e-06,"Soil",0.6273,"Total Triadimefon",8,0,10.06719167,"PLE","Cricket frog",2.077130886,111.635423910673,53.7450117674833,16.2935207061799,7.84424362277759,7.67997325813961
"57",127,2.79e-06,"Soil",0.50037,"Total Triadimefon",8,0,10.06719167,"PLE","Cricket frog",1.756096815,123.339215140006,70.2348606787979,17.5675103022889,10.0037253938581,8.44685777914737
"58",128,2.79e-06,"Soil",0.70107,"Total Triadimefon",8,0,10.06719167,"PLE","Cricket frog",1.744838243,106.293781467542,60.9189888483791,15.7013020015316,8.99871496084098,7.32877285398584
"59",129,2.79e-06,"Soil",0.69761,"Total Triadimefon",8,0,10.06719167,"PLE","Cricket frog",1.460137338,106.525952981817,72.9561187221804,15.7271916599962,10.7710358818289,7.34405394455344
"60",130,2.79e-06,"Soil",0.70298,"Total Triadimefon",8,0,10.06719167,"PLE","Cricket frog",1.373422118,106.166323499567,77.3005779564464,15.687083159209,11.4218949539365,7.32038316784427
"61",166,1.99e-05,"Soil",1.44625,"Pendimethalin",8,0,12.47076761,"PLE","Fowlers toad",1.015765216,550.896703684193,542.346494058517,87.9958190296197,86.6300771512338,38.5374715752039
"62",167,1.99e-05,"Soil",1.4138,"Pendimethalin",8,0,12.47076761,"PLE","Fowlers toad",0.793134917,556.437515469316,701.567291443955,88.6632985355771,111.788419139259,38.907411525053
"63",168,1.99e-05,"Soil",2.94055,"Pendimethalin",8,0,12.47076761,"PLE","Fowlers toad",0.232912294,402.86589389754,1729.68926190534,69.4762497174061,298.293613120337,28.5849376796909
"64",169,1.99e-05,"Soil",2.01645,"Pendimethalin",8,0,12.47076761,"PLE","Fowlers toad",2.450801741,475.789038129619,194.136078071938,78.7762779645077,32.1430643069336,33.5053653014257
"65",170,1.99e-05,"Soil",1.73866,"Pendimethalin",8,0,12.47076761,"PLE","Fowlers toad",0.348901972,507.928795460958,1455.79227468785,82.7621183236595,237.207367585929,35.6627889927417
"66",171,2.28e-05,"Soil",2.811,"Total Atrazine",8,0,17.05417146,"PLE","Fowlers toad",9.865493013,470.838143334811,47.7257591399007,80.8042474166882,8.1905939531061,33.377748011502
"67",172,2.28e-05,"Soil",1.04725,"Total Atrazine",8,0,17.05417146,"PLE","Fowlers toad",14.56173496,727.741360998651,49.9762811916096,112.260785952867,7.70930018031771,50.5808638519051
"68",173,2.28e-05,"Soil",2.57336,"Total Atrazine",8,0,17.05417146,"PLE","Fowlers toad",10.4565577,489.540391211392,46.8165915836138,83.2162554324633,7.95828396112263,34.6422999492069
"69",174,2.28e-05,"Soil",1.93404,"Total Atrazine",8,0,17.05417146,"PLE","Fowlers toad",9.020873418,555.249283843238,61.5516101506655,91.5191242806667,10.1452619984726,39.0683880122833
"70",175,2.28e-05,"Soil",0.82668,"Total Atrazine",8,0,17.05417146,"PLE","Fowlers toad",8.439433709,807.743486076195,95.7106263201996,121.459499414356,14.3919015898933,55.876396341943
"71",176,1.14e-06,"Soil",2.87106,"Total Fipronil",8,0,3.366859313,"PLE","Fowlers toad",1.155134535,23.3234416056457,20.1911040653336,4.01186933925802,3.47307540178255,1.65409960089654
"72",177,1.14e-06,"Soil",1.28161,"Total Fipronil",8,0,3.366859313,"PLE","Fowlers toad",0.524889572,33.2865610779243,63.4163124085162,5.24797968441576,9.99825480323271,2.32290914272345
"73",178,1.14e-06,"Soil",2.48014,"Total Fipronil",8,0,3.366859313,"PLE","Fowlers toad",1.259008899,24.8785619290385,19.7604337418098,4.21225138881581,3.34568833640612,1.75923142055876
"74",179,1.14e-06,"Soil",1.69321,"Total Fipronil",8,0,3.366859313,"PLE","Fowlers toad",1.158626237,29.4393218793851,25.4088168723087,4.78315165688741,4.12829565233418,2.06590427680409
"75",180,1.14e-06,"Soil",0.89804,"Total Fipronil",8,0,3.366859313,"PLE","Fowlers toad",2.07002135,38.9390973878045,18.8109641418938,5.9078218924127,2.85399080179183,2.69811197915716
"76",181,2.74e-06,"Soil",0.95994,"Total Triadimefon",8,0,7.010390361,"PLE","Fowlers toad",0.17768118,90.8793775998041,511.474415015727,13.8877946291319,78.1613147162343,6.30548362271738
"77",182,2.74e-06,"Soil",1.74647,"Total Triadimefon",8,0,7.010390361,"PLE","Fowlers toad",0.249114027,69.7978313167117,280.184268052925,11.3783925030889,45.6754388346383,4.90109733599406
"78",183,2.74e-06,"Soil",1.37367,"Total Triadimefon",8,0,7.010390361,"PLE","Fowlers toad",0.309893558,77.5941254761706,250.389604666034,12.3255334146391,39.773441868834,5.42243890214471
"79",184,2.74e-06,"Soil",3.32274,"Total Triadimefon",8,0,7.010390361,"PLE","Fowlers toad",0.404606482,52.5599680559665,129.90391996727,9.18464298135126,22.7001874412661,3.73846394052207
"80",185,2.74e-06,"Soil",1.09363,"Total Triadimefon",8,0,7.010390361,"PLE","Fowlers toad",0.318423813,85.8011550121293,269.455836872757,13.2977057567024,41.7610279564815,5.96868581412037
"81",221,5.66e-06,"Soil",1.50164,"Imidacloprid",8,0,2.865856558,"PLE","Gray treefrog",0.188500223,154.111598559243,817.56719491649,24.7166731577286,131.122779402381,10.7888416287485
"82",222,5.66e-06,"Soil",1.89679,"Imidacloprid",8,0,2.865856558,"PLE","Gray treefrog",0.176685812,139.025468005193,786.851340418852,22.8668332511083,129.420879878619,9.77829030928944
"83",223,5.66e-06,"Soil",1.48929,"Imidacloprid",8,0,2.865856558,"PLE","Gray treefrog",0.158445082,154.673885714547,976.198716691928,24.7847382941133,156.424787574746,10.8264171725978
"84",224,5.66e-06,"Soil",2.47287,"Imidacloprid",8,0,2.865856558,"PLE","Gray treefrog",0.133043234,123.679889482075,929.621791079396,20.9339126331303,157.346691024741,8.74523109719994
"85",225,5.66e-06,"Soil",1.5308,"Imidacloprid",8,0,2.865856558,"PLE","Gray treefrog",0.27666374,152.810014719229,552.331197139275,24.558881890649,88.7679819937698,10.7018377613304
"86",226,1.99e-05,"Soil",1.42942,"Pendimethalin",8,0,10.66105625,"PLE","Gray treefrog",0.077086057,553.747788811209,7183.50127586898,88.3394821867585,1145.98522255145,38.7278491791848
"87",227,1.99e-05,"Soil",1.72685,"Pendimethalin",8,0,10.66105625,"PLE","Gray treefrog",0.04141364,509.457799723598,12301.6909337986,82.9501725901202,2002.96744237213,35.7652680347794
"88",228,1.99e-05,"Soil",1.77209,"Pendimethalin",8,0,10.66105625,"PLE","Gray treefrog",0.062623285,503.680658455574,8043.02518552921,82.2389047364317,1313.23204677672,35.3779908922374
"89",229,1.99e-05,"Soil",1.59006,"Pendimethalin",8,0,10.66105625,"PLE","Gray treefrog",0.018846949,528.340790675846,28033.2265278505,85.2613846013746,4523.8825977284,37.0297336505524
"90",230,1.99e-05,"Soil",1.59253,"Pendimethalin",8,0,10.66105625,"PLE","Gray treefrog",0.060285257,527.97925559816,8758.01616966085,85.2173259983857,1413.56826260831,37.0055435800591
"91",231,2.31e-05,"Soil",1.56286,"Total Atrazine",8,0,16.63951616,"PLE","Gray treefrog",8.381738534,617.984597237256,73.7298824975797,99.5420542275127,11.8760629222358,43.2976403346361
"92",232,2.31e-05,"Soil",1.42737,"Total Atrazine",8,0,16.63951616,"PLE","Gray treefrog",8.407586134,643.199620151839,76.5022932742563,102.593845387275,12.2025327783903,44.9826137404242
"93",233,2.31e-05,"Soil",2.21783,"Total Atrazine",8,0,16.63951616,"PLE","Gray treefrog",10.43128937,529.592766198151,50.7696361795158,88.5906474620865,8.49278016549612,37.3653268572282
"94",234,2.31e-05,"Soil",2.86963,"Total Atrazine",8,0,16.63951616,"PLE","Gray treefrog",8.072348131,472.7104254822,58.5592219030872,81.3066295190536,10.0722402205145,33.5243120834558
"95",235,2.31e-05,"Soil",1.1115,"Total Atrazine",8,0,16.63951616,"PLE","Gray treefrog",6.806192479,718.208150428719,105.522750443026,111.504945997607,16.3828669761613,49.9777493764628
"96",236,1.05e-06,"Soil",2.29103,"Total Fipronil",8,0,3.309695933,"PLE","Gray treefrog",0.895649989,23.7301318458781,26.4948720340777,3.98353883093532,4.44765129220061,1.67536308870412
"97",237,1.05e-06,"Soil",2.48463,"Total Fipronil",8,0,3.309695933,"PLE","Gray treefrog",0.453031887,22.8961943504516,50.5399178456761,3.8773691369159,8.55871131410205,1.61911133641857
"98",238,1.05e-06,"Soil",1.73741,"Total Fipronil",8,0,3.309695933,"PLE","Gray treefrog",0.627210223,26.8087646255434,42.742869364142,4.36789140038816,6.96399905520699,1.88227478417055
"99",239,1.05e-06,"Soil",1.90828,"Total Fipronil",8,0,3.309695933,"PLE","Gray treefrog",0.144678333,25.7223449445951,177.789890242896,4.23355771293214,29.2618640617883,1.80938746012711
"100",240,1.05e-06,"Soil",2.34893,"Total Fipronil",8,0,3.309695933,"PLE","Gray treefrog",0.173233731,23.4703745624138,135.483860025007,3.95056824528743,22.8048441979665,1.65785139184929
