"","app_rate_g_cm2","application","body_weight_g","chemical","exp_duration","formulation","sample_id","soil_conc_ugg","soil_type","species","tissue_conc_ugg"
"393",2e-05,"Soil",2.90779,"Pendimethalin",8,0,"LFP3",17.57581532,"PLE","Leopard frog",0.092921182
"394",2e-05,"Soil",1.8955,"Pendimethalin",8,0,"LFP4",17.57581532,"PLE","Leopard frog",0.522692823
"395",2.31e-05,"Soil",1.74298,"Total Atrazine",8,0,"LFA1",21.53033266,"PLE","Leopard frog",3.440459903
"396",2.28e-05,"Soil",3.042,"Total Atrazine",8,0,"LFA2",21.53033266,"PLE","Leopard frog",6.098643762
"397",2.28e-05,"Soil",2.243,"Total Atrazine",8,0,"LFA3",21.53033266,"PLE","Leopard frog",4.385147102
"398",2.28e-05,"Soil",2.0197,"Total Atrazine",8,0,"LFA4",21.53033266,"PLE","Leopard frog",5.751047214
"399",1.12e-06,"Soil",3.07228,"Total Fipronil",8,0,"LFF1",3.156807044,"PLE","Leopard frog",0.474578788
"400",1.12e-06,"Soil",1.6105,"Total Fipronil",8,0,"LFF2",3.156807044,"PLE","Leopard frog",0.608410201
"401",1.12e-06,"Soil",1.29821,"Total Fipronil",8,0,"LFF3",3.156807044,"PLE","Leopard frog",0.37917811
"402",1.12e-06,"Soil",1.4102,"Total Fipronil",8,0,"LFF4",3.156807044,"PLE","Leopard frog",0.496870531
"403",2.81e-06,"Soil",2.11943,"Total Triadimefon",8,0,"LFT1",6.669240533,"PLE","Leopard frog",0.1766496
"404",2.81e-06,"Soil",3.13315,"Total Triadimefon",8,0,"LFT2",6.669240533,"PLE","Leopard frog",0.179231247
"405",2.81e-06,"Soil",3.32121,"Total Triadimefon",8,0,"LFT3",6.669240533,"PLE","Leopard frog",0.052193986
"406",2.81e-06,"Soil",1.44049,"Total Triadimefon",8,0,"LFT4",6.669240533,"PLE","Leopard frog",0.070844227
"425",2.02e-05,"Soil",2.58239,"Pendimethalin",8,0,"SP1",32.37428285,"PLE","Mole salamander",4.801958486
"426",2.02e-05,"Soil",1.87511,"Pendimethalin",8,0,"SP2",32.37428285,"PLE","Mole salamander",1.295372009
"427",2.02e-05,"Soil",2.07789,"Pendimethalin",8,0,"SP3",32.37428285,"PLE","Mole salamander",2.957076964
"428",2.02e-05,"Soil",3.99315,"Pendimethalin",8,0,"SP4",32.37428285,"PLE","Mole salamander",1.851006799
"429",2.02e-05,"Soil",2.0028,"Pendimethalin",8,0,"SP5",32.37428285,"PLE","Mole salamander",3.236333259
"430",2.3e-05,"Soil",2.93262,"Total Atrazine",8,0,"SA1",52.67554477,"PLE","Mole salamander",6.823400408
"431",2.3e-05,"Soil",3.53977,"Total Atrazine",8,0,"SA2",52.67554477,"PLE","Mole salamander",5.611314977
"432",2.3e-05,"Soil",1.14,"Total Atrazine",8,0,"SA3",52.67554477,"PLE","Mole salamander",5.443528911
"433",2.32e-05,"Soil",2.9446,"Total Atrazine",8,0,"SA4",81.7111506,"PLE","Mole salamander",2.748808693
"434",2.32e-05,"Soil",2.59184,"Total Atrazine",8,0,"SA5",81.7111506,"PLE","Mole salamander",2.620759616
"435",1.05e-06,"Soil",2.0321,"Total Fipronil",8,0,"SF1",4.53176306,"PLE","Mole salamander",0.49304269
"436",1.05e-06,"Soil",1.57444,"Total Fipronil",8,0,"SF2",4.53176306,"PLE","Mole salamander",1.117034512
"437",1.05e-06,"Soil",2.34673,"Total Fipronil",8,0,"SF3",4.53176306,"PLE","Mole salamander",1.105844253
"438",1.05e-06,"Soil",2.788,"Total Fipronil",8,0,"SF4",4.53176306,"PLE","Mole salamander",0.472718534
"439",1.05e-06,"Soil",1.75764,"Total Fipronil",8,0,"SF5",4.53176306,"PLE","Mole salamander",0.466888045
"440",2.87e-06,"Soil",2.42958,"Total Triadimefon",8,0,"ST1",6.136541259,"PLE","Mole salamander",1.119874054
"441",2.87e-06,"Soil",2.33583,"Total Triadimefon",8,0,"ST2",6.136541259,"PLE","Mole salamander",0.506757885
"442",2.87e-06,"Soil",1.92159,"Total Triadimefon",8,0,"ST3",6.136541259,"PLE","Mole salamander",0.23751407
"443",2.87e-06,"Soil",2.46557,"Total Triadimefon",8,0,"ST4",6.136541259,"PLE","Mole salamander",0.499320716
"444",2.87e-06,"Soil",2.68042,"Total Triadimefon",8,0,"ST5",6.136541259,"PLE","Mole salamander",0.322065257
"455",5.65e-06,"Soil",0.95183,"Imidacloprid",8,0,"NTI1",2.024466739,"PLE","Narrowmouth toad",0.294998693
"456",5.65e-06,"Soil",0.92942,"Imidacloprid",8,0,"NTI2",2.024466739,"PLE","Narrowmouth toad",0.395986198
"457",5.65e-06,"Soil",0.9349,"Imidacloprid",8,0,"NTI3",2.024466739,"PLE","Narrowmouth toad",0.214460025
"458",5.65e-06,"Soil",0.85968,"Imidacloprid",8,0,"NTI4",2.024466739,"PLE","Narrowmouth toad",0.319810784
"459",5.65e-06,"Soil",1.24292,"Imidacloprid",8,0,"NTI5",2.024466739,"PLE","Narrowmouth toad",0.49063891
"460",2.72e-06,"Soil",1.09861,"Total Triadimefon",8,0,"NTT1",6.241574746,"PLE","Narrowmouth toad",0.479349927
"461",2.72e-06,"Soil",0.8174,"Total Triadimefon",8,0,"NTT2",6.241574746,"PLE","Narrowmouth toad",0.318840389
"462",2.72e-06,"Soil",0.81689,"Total Triadimefon",8,0,"NTT3",6.241574746,"PLE","Narrowmouth toad",0.459769244
"463",2.72e-06,"Soil",0.79306,"Total Triadimefon",8,0,"NTT4",6.241574746,"PLE","Narrowmouth toad",0.447331937
"464",2.72e-06,"Soil",0.79105,"Total Triadimefon",8,0,"NTT5",6.241574746,"PLE","Narrowmouth toad",0.379035618
"1",2.29e-05,"Indirect",13.1831,"ATZTOT",8,0,"2_1_A",22.87721442,"PLE","American toad",0.337135483
"2",2.29e-05,"Indirect",15.8694,"ATZTOT",8,0,"2_1_H",39.57404439,"PLE","American toad",1.227227091
"3",2.29e-05,"Indirect",8.3884,"ATZTOT",8,0,"2_3_C",19.10798205,"PLE","American toad",0.700940082
"4",2.29e-05,"Indirect",14.5384,"ATZTOT",8,0,"2_5_C",16.62668626,"PLE","American toad",0.367019464
"5",2.29e-05,"Indirect",16.4296,"ATZTOT",8,0,"2_6_F",28.51661365,"PLE","American toad",0.35231843
"6",2.29e-05,"Indirect",16.59,"ATZTOT",8,0,"2_7_B",33.99919952,"PLE","American toad",0.818657056
"7",2.29e-05,"Indirect",9.5568,"ATZTOT",8,0,"2_1_B",29.78251321,"OLS","American toad",0.565666776
"8",2.29e-05,"Indirect",12.3541,"ATZTOT",8,0,"2_2_F",17.87349815,"OLS","American toad",2.185564918
"9",2.29e-05,"Indirect",11.1447,"ATZTOT",8,0,"2_2_I",16.59253376,"OLS","American toad",1.460641759
"10",2.29e-05,"Indirect",11.9615,"ATZTOT",8,0,"2_4_B",12.29392621,"OLS","American toad",0.521202693
"11",2.29e-05,"Indirect",17.3882,"ATZTOT",8,0,"2_5_H",21.6577354,"OLS","American toad",0.525601376
"12",2.29e-05,"Indirect",11.7687,"ATZTOT",8,0,"2_7_E",29.25664048,"OLS","American toad",6.443801458
"13",2.29e-05,"Indirect",10.5239,"ATZTOT",8,1,"2_1_D",23.57654351,"PLE","American toad",0.867924815
"14",2.29e-05,"Indirect",14.6051,"ATZTOT",8,1,"2_1_F",23.85857164,"PLE","American toad",0.560925254
"15",2.29e-05,"Indirect",16.9753,"ATZTOT",8,1,"2_2_D",21.82224207,"PLE","American toad",0.572604017
"16",2.29e-05,"Indirect",12.6029,"ATZTOT",8,1,"2_5_D",22.10602964,"PLE","American toad",0.357537561
"17",2.29e-05,"Indirect",11.4693,"ATZTOT",8,1,"2_6_B",18.47118347,"PLE","American toad",0.525853638
"18",2.29e-05,"Indirect",11.7396,"ATZTOT",8,1,"2_6_F",8.640551756,"PLE","American toad",1.29826811
"19",2.29e-05,"Indirect",11.0822,"ATZTOT",8,1,"2_1_E",14.25437079,"OLS","American toad",1.138952601
