app_rate_g_cm2,application,body_weight_g,chemical,exp_duration,formulation,sample_id,soil_conc_ugg,soil_type,source,species,tissue_conc_ugg
5.76E-06,soil,1.29982,imidacloprid,8,0,HCI2,2.032637766,PLE,rvm2015,Green treefrog,0.160232247
5.76E-06,soil,1.41647,imidacloprid,8,0,HCI3,2.032637766,PLE,rvm2015,Green treefrog,0.12428756
5.76E-06,soil,1.30898,imidacloprid,8,0,HCI4,2.032637766,PLE,rvm2015,Green treefrog,0.154999982
5.76E-06,soil,1.2973,imidacloprid,8,0,HCI5,2.032637766,PLE,rvm2015,Green treefrog,0.103564099
1.99E-05,soil,2.18431,pendimethalin,8,0,HCP1,12.43513533,PLE,rvm2015,Green treefrog,0.106088831
1.99E-05,soil,1.10908,pendimethalin,8,0,HCP2,12.43513533,PLE,rvm2015,Green treefrog,0.264552068
1.99E-05,soil,2.55184,pendimethalin,8,0,HCP3,12.43513533,PLE,rvm2015,Green treefrog,0.285295401
1.99E-05,soil,2.44681,pendimethalin,8,0,HCP4,12.43513533,PLE,rvm2015,Green treefrog,0.087572337
1.99E-05,soil,2.26759,pendimethalin,8,0,HCP5,12.43513533,PLE,rvm2015,Green treefrog,0.083610081
2.30E-05,soil,1.31617,atrazine,8,0,HCA1,17.60923519,PLE,rvm2015,Green treefrog,3.727357846
2.30E-05,soil,1.8349,atrazine,8,0,HCA2,17.60923519,PLE,rvm2015,Green treefrog,3.065833762
2.30E-05,soil,2.11135,atrazine,8,0,HCA3,17.60923519,PLE,rvm2015,Green treefrog,5.406937125
2.30E-05,soil,1.88638,atrazine,8,0,HCA4,17.60923519,PLE,rvm2015,Green treefrog,3.651702998
2.30E-05,soil,0.73631,atrazine,8,0,HCA5,17.60923519,PLE,rvm2015,Green treefrog,2.867269263
1.06E-06,soil,1.69128,fipronil,8,0,HCF1,2.804569298,PLE,rvm2015,Green treefrog,0.197411795
1.06E-06,soil,2.0466,fipronil,8,0,HCF2,2.804569298,PLE,rvm2015,Green treefrog,0.111496024
1.06E-06,soil,2.34143,fipronil,8,0,HCF3,2.804569298,PLE,rvm2015,Green treefrog,0.061188744
1.06E-06,soil,1.05281,fipronil,8,0,HCF4,2.804569298,PLE,rvm2015,Green treefrog,0.427601059
1.06E-06,soil,1.01293,fipronil,8,0,HCF5,2.804569298,PLE,rvm2015,Green treefrog,0.261173889
2.71E-06,soil,1.26341,triadimefon,8,0,HCT1,5.245912662,PLE,rvm2015,Green treefrog,0.273380103
2.71E-06,soil,1.56597,triadimefon,8,0,HCT2,5.245912662,PLE,rvm2015,Green treefrog,0.393093957
2.71E-06,soil,1.34966,triadimefon,8,0,HCT3,5.245912662,PLE,rvm2015,Green treefrog,0.151943337
2.71E-06,soil,1.4684,triadimefon,8,0,HCT4,5.245912662,PLE,rvm2015,Green treefrog,0.495725615
2.71E-06,soil,2.15294,triadimefon,8,0,HCT5,5.245912662,PLE,rvm2015,Green treefrog,0.557152367
2.00E-05,soil,1.2242,pendimethalin,8,0,LFP1,17.57581532,PLE,rvm2015,Leopard frog,0.131424428
2.00E-05,soil,2.64224,pendimethalin,8,0,LFP2,17.57581532,PLE,rvm2015,Leopard frog,0.41907742
2.00E-05,soil,2.90779,pendimethalin,8,0,LFP3,17.57581532,PLE,rvm2015,Leopard frog,0.092921182
2.00E-05,soil,1.8955,pendimethalin,8,0,LFP4,17.57581532,PLE,rvm2015,Leopard frog,0.522692823
2.31E-05,soil,1.74298,atrazine,8,0,LFA1,21.53033266,PLE,rvm2015,Leopard frog,3.440459903
2.28E-05,soil,3.042,atrazine,8,0,LFA2,21.53033266,PLE,rvm2015,Leopard frog,6.098643762
2.28E-05,soil,2.243,atrazine,8,0,LFA3,21.53033266,PLE,rvm2015,Leopard frog,4.385147102
2.28E-05,soil,2.0197,atrazine,8,0,LFA4,21.53033266,PLE,rvm2015,Leopard frog,5.751047214
1.12E-06,soil,3.07228,fipronil,8,0,LFF1,3.156807044,PLE,rvm2015,Leopard frog,0.474578788
